Ladekurvenmessung
Zeit: 2018_05_03 11.55.44
Info: FVA3, v = 0.749, T = 60, F = 20, h = 259.2
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13
0	0.00672	0.00294	0.000967	0.014445	-0.000841	0.001789	0.001296	0.007542	0.001132	0.003104	0.011651	0.007706	0.001954
1	0.00409	0.003926	-0.003635	0.019047	0.00294	0.00146	0.001625	0.003268	0.003268	0.005898	0.012308	0.004748	0.001954
2	0.003433	0.005734	-0.000512	0.021019	0.003761	0.001625	0.002118	0.006884	-0.000512	0.001625	0.014938	0.004748	0.003268
3	0.005241	0.005734	-0.005114	0.017403	0.000474	0.00294	0.004419	0.002775	0.001625	0.003926	0.018225	0.004748	0.006391
4	0.006391	0.003268	-0.002484	0.013623	0.001296	-0.000183	0.002282	0.001789	0.000639	0.003761	0.01313	0.008035	0.004255
5	0.007049	0.004419	-0.002484	0.013294	0.003761	0.003761	0.005076	0.002611	0.002447	0.005241	0.013623	0.006391	0.004583
6	0.007706	0.005898	-0.005771	0.018389	0.00146	0.001296	0.004255	0.00409	0.004255	0.004583	0.01428	0.006556	0.010336
7	0.007049	0.00672	-0.005443	0.016253	-0.001334	0.003268	0.002775	-0.002155	0.004912	0.007542	0.01428	0.006556	0.009843
8	0.00409	0.00146	-0.007579	0.017239	-0.000347	0.004419	-1.9e-05	0.001625	0.003268	0.004583	0.009185	0.008199	0.001625
9	-0.000347	0.009843	-0.007908	0.017403	-0.001334	0.001789	0.007213	0.000639	-0.002484	0.005734	0.012637	0.003268	0.002611
10	0.001954	0.005898	-0.010373	0.022334	-0.001991	0.001789	0.001789	0.003926	-0.001334	0.005241	0.013623	0.00787	0.002775
11	0.003268	0.002611	-0.010702	0.01954	-0.002813	0.005076	0.004419	0.003268	-0.001498	0.005241	0.011651	0.009185	0.001954
12	0.004583	0.003926	-0.007908	0.022663	0.000967	0.006391	0.004419	-1.9e-05	0.000639	0.002447	0.012144	0.010336	0.002775
13	0.001625	0.00409	-0.011524	0.022169	-0.001827	0.004255	0.003597	0.004419	-0.003963	0.002447	0.010993	0.010336	0.000967
14	0.003433	-0.001005	-0.018098	0.022663	0.002611	0.000967	0.003104	0.004419	-0.002155	0.004748	0.011486	0.007706	0.000967
15	0.000967	0.003597	-0.01629	0.024799	-0.002155	0.004912	0.003104	0.005405	-0.002648	0.001954	0.012965	0.016253	0.00031
16	-0.001334	0.003433	-0.015633	0.022169	0.002775	0.003597	0.003926	0.003597	-0.003142	0.00672	-0.000183	0.00787	-0.000183
17	0.002447	0.003268	-0.014975	0.021841	-0.001498	-0.000183	0.003433	0.004748	-0.00232	0.002775	0.000967	0.010993	-0.001827
18	0.000146	0.00146	-0.018427	0.022169	-0.001498	-0.000676	-1.9e-05	0.004255	-0.001005	0.006227	0.003761	0.01428	0.001625
19	0.000474	0.004748	-0.01251	0.017403	-0.000676	0.00294	-0.000183	0.001132	-0.000841	0.00146	0.004912	0.010993	0.007049
20	0.000967	0.006062	-0.016454	0.01576	-0.003142	-1.9e-05	0.003597	0.002775	-0.001498	0.006391	0.002447	0.008692	0.005076
21	0.001296	0.003597	-0.016454	0.014773	0.000146	-0.000183	-0.001827	0.006884	0.000639	0.004255	0.00787	0.010993	0.000639
22	-0.000347	0.004255	-0.01251	0.014938	-0.001662	0.00146	0.001954	0.00294	-0.000512	0.004748	0.003104	0.010829	0.001296
23	0.002611	0.00294	-0.015304	0.019375	0.00031	0.00031	0.002282	0.002447	-0.000512	0.010336	0.002282	0.008363	0.000146
24	-0.001498	0.004748	-0.01892	0.016253	-0.001991	-0.000347	0.002611	0.00409	-0.001827	0.003926	0.005734	0.004419	0.00146
25	0.002282	0.002611	-0.018427	0.020855	0.000967	-0.002155	0.002611	0.004912	0.00031	0.003268	0.006227	0.005734	-0.000512
26	0.001296	0.003761	-0.018755	-0.000183	-0.001827	0.000639	0.003433	0.002775	-0.003963	0.000146	0.006062	-0.002648	0.000474
27	0.00146	0.003268	-0.01892	-0.00232	-0.000841	0.003268	0.004419	-0.001169	-0.003306	-0.000676	0.00672	0.006884	-0.000347
28	0.001296	0.006062	-0.019084	-0.000183	-0.00232	0.002282	0.003761	0.005241	-0.001334	0.004583	0.006227	0.00787	-0.000347
29	0.004583	0.003761	-0.022207	0.000967	-0.000183	0.003597	0.003268	0.003268	-0.00232	0.00294	0.004583	0.009514	0.000146
30	-0.001005	0.003104	-0.015961	0.002447	-0.00232	0.004583	0.002282	0.004419	-0.005771	-0.001662	0.009843	0.010171	0.000146
31	0.000639	0.001625	-0.016619	0.005734	0.00146	-0.000183	0.00294	0.006062	-0.003142	0.003104	0.007049	0.008857	0.00031
32	0.000967	0.002775	-0.015633	0.00787	-0.002484	0.003104	0.002447	0.003597	-0.003635	0.002611	0.008363	0.0105	0.00031
33	-0.002813	0.003104	-0.017605	0.008199	-0.001662	0.001625	-1.9e-05	0.003926	-0.001662	0.003597	0.009678	0.00935	0.000146
34	0.000639	0.00409	-0.021056	0.007706	0.000474	0.00294	-0.001005	0.004748	-0.0061	-0.0061	0.00672	0.010336	0.000146
35	-0.001991	0.002447	-0.014811	0.000803	-0.000512	0.00146	0.00031	0.002118	-0.005607	-1.9e-05	0.008035	0.00787	-0.000183
36	-0.001334	0.002447	-0.012346	-1.9e-05	-0.000347	-0.000676	0.00031	0.006062	0.001789	0.000639	0.009843	0.011486	-0.000183
37	0.00031	0.003268	-0.013167	0.008199	-0.000347	0.001789	0.002282	0.00294	-0.00347	0.002611	0.00672	0.010336	-0.000347
38	0.000474	0.006884	-0.010045	-0.000676	0.00146	0.001789	0.002118	0.004912	-0.003306	0.006227	0.010829	0.007706	-0.000512
39	-1.9e-05	0.003433	-0.012017	-0.000183	0.000639	0.00294	0.00294	0.005569	-0.003142	0.005569	0.007213	0.007706	-0.000512
40	0.001954	0.000967	-0.01366	0.003926	0.002282	0.001132	0.004748	0.003104	-0.000841	0.002447	0.009021	0.008857	0.000146
41	-0.001827	0.00409	-0.012017	0.00672	0.001625	0.002447	0.003268	0.002611	-0.003306	0.005734	0.011651	0.006391	0.000146
42	-0.002155	-0.001498	-0.010045	0.00031	-0.00232	-0.00347	0.00146	0.003433	-0.001662	0.003926	0.00935	0.008035	0.00031
43	-0.004292	0.002775	-0.011359	0.000474	0.000146	0.003926	0.000474	0.002611	-0.004949	0.003268	0.011651	0.010993	0.00031
44	0.000474	0.003104	-0.012017	0.000474	-0.000183	0.002447	0.00294	0.002611	-0.005936	0.003926	0.006227	0.007706	0.00031
45	-0.00232	0.004419	-0.010702	0.000146	-0.001169	0.000803	0.002611	0.00146	-0.004785	0.00294	0.009678	0.00935	0.000146
46	-0.000676	0.003597	-0.013332	-0.000183	-0.001662	-0.000512	0.005241	0.006391	-0.006593	0.001132	0.006391	0.008857	-1.9e-05
47	-0.001169	0.00409	-0.007908	-0.000347	-0.000841	0.001625	0.003104	0.003597	-0.006757	0.001296	0.008035	0.011322	-0.000183
48	-0.001334	0.003268	-0.009551	-0.000347	-0.000512	0.002118	0.001296	0.002447	-0.005936	0.002775	0.007213	0.013787	-0.000347
49	-0.000676	0.003761	-0.007908	-0.000512	-0.000512	0.003597	0.001625	0.004583	-0.007415	0.002282	0.005076	0.013623	-0.000676
50	-0.002484	0.003268	-0.004128	-0.000512	-0.000183	0.003597	0.000967	0.00672	-0.005278	0.005898	0.005898	0.016088	-0.000347
51	0.00409	0.004419	-0.001005	-0.000183	-1.9e-05	0.001789	0.00031	0.00294	-0.005278	0.003104	0.006062	0.01954	-0.000183
52	-0.008401	0.004583	-0.0061	-1.9e-05	0.000639	0.001625	0.001789	0.000146	-0.006757	0.001132	0.004583	0.020855	-1.9e-05
53	-0.003635	0.004255	-0.004785	0.00031	0.000146	-0.000841	-0.001334	0.00409	-0.005607	0.002611	0.010007	0.020855	0.00031
54	-0.001662	0.004583	-0.004621	0.00031	0.00031	0.000146	0.004912	-0.001662	-0.005607	0.005734	0.005405	0.020033	0.000474
55	-0.000676	0.003597	-0.001498	0.00031	0.000146	0.00031	0.001132	0.001789	-0.004621	0.001296	0.0105	0.022169	0.00031
56	-0.004456	0.00294	-0.002648	-1.9e-05	-0.000183	-1.9e-05	-0.003306	0.005569	-0.005936	0.004748	0.009185	0.021676	0.00031
57	0.002775	0.001954	-0.001498	-1.9e-05	-0.000512	-0.002813	-0.003799	0.005734	-0.002484	0.001132	0.010171	0.019375	-0.000183
58	-0.007086	0.007049	-0.001827	-0.000347	-0.000183	0.002447	0.00146	0.002775	-0.012017	0.005241	0.003926	0.019211	-0.000183
59	-0.005443	0.003926	-0.001334	-0.000512	-0.000841	0.000639	-1.9e-05	0.003761	-0.003799	0.003926	0.006556	0.018882	-0.000676
60	-0.001498	0.003597	-0.001827	-0.000676	-0.000183	0.001789	0.00294	0.002447	-0.007744	0.002611	0.006062	0.019047	-0.000512
61	-0.001991	-1.9e-05	-0.001169	-0.000512	-0.000183	0.001625	0.000803	0.00294	-0.005936	0.000146	0.005734	0.015924	-0.000347
62	-0.008072	0.011322	0.001625	-0.000183	-0.000347	-0.000347	0.006556	0.002282	-0.007086	0.001625	0.00935	0.015431	-1.9e-05
63	-0.002648	0.005076	-0.002977	-1.9e-05	0.00031	0.004419	0.002611	0.00409	-0.00725	0.000146	0.005076	0.013459	-1.9e-05
64	-0.004292	0.003761	-0.002648	0.000146	0.000146	0.003104	0.000146	0.004583	-0.005443	0.002447	0.00672	0.016581	0.000146
65	-0.004128	0.001132	-0.001169	-1.9e-05	0.00031	0.001789	0.004583	0.002447	-0.005278	0.001789	0.003761	0.013294	0.00031
66	-0.002977	0.006884	0.002118	0.000146	0.001625	0.004255	-0.001827	0.00409	-0.005771	0.001132	0.00935	0.011651	0.00031
67	-0.003635	-0.000183	0.001296	0.00031	-0.000512	0.002118	0.00146	0.004255	-0.005936	0.003433	0.004255	0.017403	0.000146
68	-0.003635	0.002447	0.005898	-0.000183	-0.000183	-0.001005	-0.002813	-0.001827	-0.007579	0.003597	0.004912	0.013787	-1.9e-05
69	-0.005114	-0.000183	0.002775	-0.000347	-0.000512	-0.001498	-0.001662	0.00146	-0.007415	0.003926	0.009185	0.012144	-0.000183
70	-0.001498	0.004419	0.003268	-0.000512	-0.000841	0.002118	-0.001169	0.004912	-0.006922	-0.000183	0.00787	0.011486	-0.000512
71	-0.001169	0.002775	0.001296	-0.000512	-0.000183	0.000803	0.001132	0.003433	-0.008237	0.004583	0.007049	0.011979	-0.000347
72	-0.001498	0.003597	0.006391	-0.000347	-0.000512	-0.001498	-0.001991	0.003761	-0.008072	0.001625	0.006227	0.010007	-0.000347
73	-0.006264	0.005076	0.007377	-0.000183	0.000474	-0.001169	0.000474	0.000639	-0.009058	0.004748	0.005076	0.006556	-1.9e-05
74	-0.002648	0.006062	0.00409	-1.9e-05	-0.000347	-0.000512	0.000639	0.000803	-0.006429	0.002611	0.006556	0.007377	0.000146
75	-0.002813	0.005734	0.006227	0.000146	0.000146	0.000967	0.003761	-1.9e-05	-0.011031	0.004748	0.006391	0.005734	0.000146
76	-0.00347	0.003433	0.004583	0.000146	0.000474	0.001954	0.000803	0.00294	-0.008894	0.004419	0.006391	0.006884	0.00031
77	-0.001827	0.005734	0.003104	0.00031	0.000146	0.002118	0.00294	0.002118	-0.01251	0.001789	0.007706	0.005076	-1.9e-05
78	-0.002648	0.001132	0.005241	0.000146	-0.001991	0.002282	0.001296	0.000967	-0.008565	-0.00347	0.006062	0.004912	0.000474
79	-0.001334	0.004255	0.006391	0.000146	-0.000841	0.002447	0.002611	-0.001005	-0.009223	0.003104	0.005405	0.007049	-1.9e-05
80	-0.00232	0.003268	-0.000183	-0.000347	-0.001005	0.001132	0.003104	0.001296	-0.010866	0.000967	0.005734	0.004583	-0.000183
81	-0.000183	0.00146	0.003926	-0.000512	-0.000512	0.007706	-1.9e-05	0.003597	-0.010538	0.001132	0.003597	0.007049	-0.000347
82	0.00146	0.003268	0.005076	-0.000512	-0.001334	0.004419	0.004912	0.001625	-0.011524	0.001789	0.00031	0.006884	-0.000347
83	0.003104	0.005241	0.002611	-0.000676	-0.000183	0.001625	0.003268	0.002118	-0.011524	0.000967	0.007049	0.005405	-0.000512
84	0.000639	0.002775	0.004748	-0.000183	0.000146	0.003597	0.003104	-0.000676	-0.011688	0.004255	0.002611	0.004255	0.000146
85	-0.001169	-0.001498	0.00146	-1.9e-05	-1.9e-05	0.001132	0.001132	0.001625	-0.011852	0.000474	0.005898	0.008199	-1.9e-05
86	-0.000183	0.003268	-0.000676	-0.000183	0.000474	0.000639	0.004255	-0.001005	-0.014482	0.00672	0.00672	0.009514	0.00031
87	-0.000841	0.00409	0.001296	-1.9e-05	-1.9e-05	0.000639	-0.001169	0.004255	-0.010209	0.005076	0.006884	0.008363	0.000146
88	-0.000183	0.004748	-0.000183	0.000146	0.00031	0.002118	0.001954	-0.000183	-0.011359	0.010007	0.006556	0.008363	0.000146
89	-0.001827	0.003597	0.00146	0.000146	-0.000183	-0.000512	0.000146	0.002282	-0.013332	0.00409	0.008857	0.009514	0.00031
90	-0.001498	0.002282	0.003761	-1.9e-05	-0.000347	0.00146	0.003761	0.000474	-0.016619	0.003926	0.007049	0.0105	-1.9e-05
91	-0.001991	0.006227	-0.000512	-0.000347	-0.000841	-0.003142	0.002118	-0.000183	-0.014153	0.004255	0.010993	0.009843	-0.000183
92	-0.00347	0.006556	0.001625	-0.000512	-0.000676	0.003926	0.003104	-1.9e-05	-0.01366	0.007213	0.009678	0.000639	-0.000347
93	-0.002155	0.003761	0.000967	-0.000512	-0.000676	-0.000183	0.002118	0.002611	-0.011524	0.003433	0.00935	0.003597	-0.000676
94	-0.000347	0.007377	0.001625	-0.000183	-0.000347	-0.001991	0.00294	0.004255	-0.015961	0.005076	0.008528	0.001954	-0.000183
95	-0.001169	0.004912	-0.000183	-0.000347	-1.9e-05	0.001789	0.003268	-1.9e-05	-0.013825	0.003597	0.007213	0.002611	-0.000347
96	0.00031	0.004912	0.00409	-1.9e-05	0.000146	0.004255	0.003104	0.001625	-0.012017	0.001954	0.008857	0.003926	0.000146
97	-0.000512	0.004583	-0.001334	0.000146	-1.9e-05	0.001132	0.004912	0.000967	-0.014482	0.003268	0.00935	0.005076	-1.9e-05
98	-0.000676	0.005569	0.004748	0.000146	-1.9e-05	0.000803	-0.000676	0.001789	-0.01251	0.006062	0.004748	0.005241	0.000146
99	-0.001169	0.002118	0.001789	0.00031	0.00031	0.00294	0.003597	-0.001169	-0.01251	0.002118	0.003104	0.004912	0.000146
100	-1.9e-05	0.003926	0.001625	0.000474	-0.000183	0.002611	-0.002155	-1.9e-05	-0.013167	0.004419	0.006227	0.008528	0.00031
101	-0.001991	0.002447	0.003433	-0.000183	-0.000347	0.002282	-0.001662	0.003597	-0.013989	0.009514	0.003761	0.010336	-1.9e-05
102	-0.001005	0.001625	0.008528	-0.000183	-0.000347	0.002282	0.003104	0.000474	-0.012346	0.003268	0.005734	0.012637	-0.000183
103	0.001132	0.00409	0.005241	-0.000512	-0.000512	0.002775	-0.000512	-0.001005	-0.017276	0.004912	0.008692	0.007706	-0.000512
104	-0.000183	-0.001991	0.006062	-0.000512	-0.000512	0.00031	0.00031	0.002775	-0.01366	0.004419	0.007049	0.00935	-0.000676
105	-0.004949	0.003926	0.006062	-0.000512	-0.000347	0.000639	0.000639	-0.004621	-0.014811	0.004912	0.003761	0.007542	-0.000512
106	-0.001498	0.003433	0.005898	-0.000512	-1.9e-05	0.000639	-0.002648	0.000967	-0.015304	0.00294	0.009843	0.006884	-0.000347
107	-0.003635	0.002118	0.008363	-0.000183	0.00031	0.001296	-1.9e-05	0.000803	-0.021056	0.003761	0.007706	0.007213	-0.000183
108	-0.001991	0.003268	0.003104	0.000146	0.00031	-0.000183	0.00146	0.002282	-0.01629	0.004912	0.008199	0.004255	0.000146
109	-0.001169	0.004912	0.003597	0.00031	-0.000841	0.001954	-0.001005	0.000967	-0.016454	0.003926	0.010664	0.007542	0.000146
110	-0.001991	0.002118	0.004748	-1.9e-05	0.00294	-1.9e-05	0.00146	-0.000512	-0.013989	0.005405	0.006391	0.004583	0.000474
111	-0.002813	0.003597	0.005734	0.000474	0.001296	0.001789	0.000803	0.004255	-0.01514	0.004255	0.005405	0.003761	0.00031
112	-1.9e-05	0.002447	0.005898	0.000146	-0.000347	-0.001498	0.002775	-0.001334	-0.013332	0.006391	0.006227	0.003433	-1.9e-05
113	-0.001169	0.008363	0.006391	-0.000512	-0.000676	0.002118	0.000146	0.00294	-0.010866	0.001625	0.008528	0.003926	-0.000512
114	0.001296	0.005734	0.001132	-0.000347	-0.000347	0.001296	0.000639	-0.002155	-0.014975	0.002447	0.007542	0.002118	-0.000347
115	-0.001005	0.003104	0.00409	-0.000676	-0.000183	0.00294	0.004912	0.003433	-0.014153	0.001789	0.008857	0.005569	-0.000676
116	-0.001005	0.006391	0.00409	-0.000347	-0.000183	0.003761	0.003104	0.001296	-0.019084	0.001625	0.005405	0.000639	-0.000676
117	-0.002484	0.003597	0.004748	-0.000676	-1.9e-05	0.002775	0.002282	0.000639	-0.016619	-0.000347	0.00935	0.001954	-0.000347
118	0.00031	0.003104	0.004419	-1.9e-05	-1.9e-05	0.008528	0.00146	0.003433	-0.017605	0.003597	0.005076	0.000474	-1.9e-05
119	0.000803	0.002282	0.005898	0.000146	0.00031	-0.003142	0.001954	0.003597	-0.01892	0.002447	0.007377	0.001132	-1.9e-05
120	-0.002813	0.004419	0.004748	0.000146	0.000474	0.000146	-0.002484	0.001954	-0.017769	0.002611	0.007542	-0.003142	-1.9e-05
121	0.000474	0.003104	0.004912	0.00031	0.00031	-0.000183	-0.001005	0.002118	-0.018098	0.002611	0.009021	-0.001334	0.00031
122	0.000146	0.00146	0.006884	0.000146	0.005734	-0.000512	0.00031	0.001954	-0.014153	0.00409	0.005734	-0.001334	0.00031
123	0.000474	0.00294	0.004748	-1.9e-05	0.000146	-0.000841	-0.00232	0.001625	-0.018591	0.00294	0.00787	-0.003306	0.000146
124	-0.000841	0.005405	0.006556	-0.000347	-0.001005	0.003104	0.000474	0.002447	-0.015797	0.003926	0.007049	0.001789	-0.000183
125	0.000967	0.003761	0.005898	-0.000347	0.000474	-0.000512	0.003104	0.003268	-0.017934	0.001789	0.008035	0.002775	-0.000512
126	0.000146	0.003597	0.006227	-0.000676	-0.00347	0.007542	0.000474	0.001789	-0.020892	0.005241	0.008692	-0.00232	-0.000676
127	0.000146	0.003926	0.002282	-0.000676	-0.001005	0.00146	0.003597	0.00031	-0.018591	0.00294	0.006556	-0.004292	-0.000347
128	0.000474	0.005734	0.002118	-0.000347	0.002775	0.001789	0.002775	0.002775	-0.018591	-0.002648	0.008528	-0.002484	-0.000347
129	0.001296	0.003761	0.002611	-0.000183	-0.003635	-0.007908	0.002775	-0.000347	-0.019084	-0.002484	0.004583	-0.001169	0.000146
130	0.002447	0.005898	0.004255	-1.9e-05	-0.001662	0.003597	-0.002977	0.000639	-0.017934	0.001296	0.009185	0.002447	-1.9e-05
131	-1.9e-05	0.005898	0.001296	0.000146	-0.001169	0.003268	0.001296	-0.000183	-0.017112	0.001296	0.003761	-0.000183	0.00031
132	-0.001662	0.003433	0.008035	0.000146	-0.005278	0.003104	-1.9e-05	0.001625	-0.019249	-0.000183	0.005076	0.001625	0.000146
133	0.002775	0.003433	0.001296	-1.9e-05	-0.004456	0.00409	0.005405	0.001132	-0.019249	0.000474	0.007049	0.003268	0.000474
134	0.003761	0.003268	0.001789	-1.9e-05	-0.003963	0.001296	0.003104	-0.001005	-0.015797	0.000803	0.008363	0.002775	-0.000183
135	-1.9e-05	0.00031	0.002775	-1.9e-05	-0.006593	0.004912	0.003104	-1.9e-05	-0.018755	0.004912	0.004419	0.003433	-0.000183
136	0.004583	0.004419	0.004419	-0.000676	-0.002484	-0.002484	0.002611	0.00409	-0.021056	0.00031	0.007213	0.004583	-0.000512
137	0.002282	0.004255	0.005734	-0.000512	-0.003799	0.003104	0.000474	-0.000347	-0.02155	0.002447	0.006391	0.005076	-0.000512
138	-0.001005	0.003268	0.004912	-0.000512	-0.004456	-0.000183	-1.9e-05	0.004255	-0.020235	0.002611	0.006062	0.004419	-0.000512
139	0.001296	0.004748	0.003433	-0.000347	-1.9e-05	0.001789	0.003433	0.001625	-0.022207	-0.000347	0.006556	0.003926	-0.000676
140	0.001625	0.003104	0.005076	-1.9e-05	0.000146	0.000146	0.004419	0.002611	-0.023851	0.000803	0.008035	0.005734	-0.000183
141	-0.001169	0.005734	0.005734	0.000146	0.000146	-0.000676	0.001789	0.000967	-0.025001	0.003926	0.007377	0.005405	-1.9e-05
142	-0.001498	0.004748	0.00409	0.000146	0.000146	0.005076	0.000639	0.002447	-0.023851	0.000639	0.006227	0.002447	-1.9e-05
143	0.001625	0.003104	0.007706	-0.000183	0.000146	0.002611	0.001132	0.00294	-0.021221	0.004419	0.010007	0.003268	0.000146
144	0.003433	0.003433	0.004583	-1.9e-05	-1.9e-05	0.000967	0.001954	0.001296	-0.021878	0.001954	0.005241	0.006062	0.000146
145	0.001296	0.004583	0.007213	-0.000183	-0.001662	0.003597	0.001789	-0.001498	-0.026645	0.003597	0.007049	0.005241	-1.9e-05
146	0.003268	0.003926	0.00409	-0.000347	0.00146	0.002118	0.000967	0.000146	-0.017605	-0.001662	0.007049	0.004748	-0.000183
147	0.006556	0.005898	0.006062	-0.000512	0.002118	0.00031	0.003926	0.003597	-0.023357	-0.001498	0.008692	0.004583	-0.000347
148	0.003268	0.003926	-0.002977	-0.000512	0.001954	0.002447	-0.000676	-0.001498	-0.022371	0.002118	0.006062	0.003597	-0.000512
149	0.004419	0.005076	0.001296	-0.000512	0.000474	0.001954	0.004748	-0.001662	-0.022043	-0.002155	0.005076	0.001954	-0.000347
150	0.004748	0.004255	-0.001334	-0.000512	-0.001005	0.002282	0.00409	0.000639	-0.0227	-0.001005	0.00294	0.002118	-0.000512
151	0.006391	0.004255	-0.000841	-0.000183	-0.001662	0.002775	0.00146	-1.9e-05	-0.023029	-0.001498	0.007542	0.006884	-0.000183
152	0.00294	0.003761	-0.001827	-1.9e-05	-0.001498	0.002775	0.00146	-0.002484	-0.0227	0.003761	0.00409	0.005241	-1.9e-05
153	0.002282	0.004419	0.002282	-1.9e-05	-0.00232	-0.000512	0.000474	0.000146	-0.022536	-1.9e-05	0.004748	0.003597	-1.9e-05
154	0.001625	0.00146	0.003926	0.000146	-0.001005	-0.001169	0.001132	0.00031	-0.025165	0.001132	0.005569	0.000474	0.00031
155	0.00409	-0.001005	0.006062	0.000146	0.000146	0.002118	-0.00347	0.004912	-0.021878	-0.000512	0.007049	0.004912	0.000146
156	0.00294	0.005241	0.006227	-1.9e-05	0.000967	0.00031	-0.004785	0.001625	-0.02648	0.002775	0.005076	0.000639	-1.9e-05
157	0.002775	0.000146	0.007542	-0.000512	0.001132	0.00031	0.002447	0.00409	-0.037492	-0.001498	0.003597	0.003104	-0.000183
158	0.003597	0.001296	0.007706	-0.000512	0.000967	0.00146	-0.001498	0.004419	-0.026809	0.001789	0.007377	0.002118	-0.000347
159	0.001954	0.000474	0.006556	-0.000841	0.001625	0.000803	-0.001334	0.002775	-0.025001	0.000967	0.003926	0.000474	-0.000512
160	0.000639	0.005734	0.008692	-0.000512	0.001954	0.00409	0.001954	0.003433	-0.025494	0.002447	0.005241	0.001132	-0.000676
161	0.001296	0.003597	0.008857	-0.000512	0.001789	-0.000841	0.003104	0.002775	-0.023029	0.004419	0.000803	0.000474	-0.000347
162	0.008363	0.003433	0.007213	-0.000183	0.000146	0.001625	0.000803	0.000146	-0.025165	0.001625	0.005569	0.000474	-0.000183
163	-0.001498	0.00409	0.010171	-0.000183	0.001132	0.007049	0.00294	0.001296	-0.023522	0.002775	0.006227	0.000967	0.000146
164	0.005241	0.007377	0.008528	0.000146	0.000967	0.000967	0.002447	0.003926	-0.027138	-0.000676	0.000967	-0.000512	0.00031
165	0.003926	0.003761	0.005405	0.000146	0.000803	0.002611	0.005076	0.001296	-0.029767	-0.000676	0.005734	-0.000676	0.00031
166	0.000146	0.004255	0.014938	0.000146	-0.000512	0.002282	-0.000183	0.002775	-0.026973	-0.000183	0.004912	0.004255	0.00031
167	0.001625	0.004419	0.012637	-1.9e-05	0.00146	-0.001662	0.00409	0.00031	-0.028124	0.000146	0.003433	0.001954	0.00031
168	0.004255	0.005241	0.010336	-0.000183	-0.000183	-1.9e-05	0.001296	0.006884	-0.026152	-0.003306	0.007542	-0.002155	-0.000183
169	0.006062	0.005898	-0.000512	-0.000512	-0.001827	0.001132	-0.001334	0.003597	-0.028946	0.001296	-0.003963	-0.001169	-0.000512
170	0.001954	0.000474	0.000967	-0.000676	-0.000512	-0.000841	-0.001169	0.005734	-0.028288	-0.00232	0.004419	0.00294	-0.000512
171	0.003268	0.001789	0.003597	-0.000676	-0.001169	0.003268	0.001132	0.007213	-0.030918	-0.000841	0.003926	-0.003799	-0.000512
172	0.006227	0.004583	0.002447	-0.000676	0.000146	0.000474	-0.000347	0.007213	-0.025165	-0.000512	0.002775	-0.000512	-0.000512
173	0.001625	0.007213	0.000474	-1.9e-05	0.000146	0.002118	-0.000841	0.001789	-0.030589	0.00294	0.004912	-0.000347	-0.000183
174	0.003597	0.004583	0.00031	-1.9e-05	0.001132	0.00409	-0.000676	0.004583	-0.030096	-0.000841	0.002447	-0.002484	0.000146
175	0.003926	0.005076	0.002775	-1.9e-05	0.000146	0.000967	0.002118	0.002611	-0.033548	0.000967	0.000146	-0.004292	0.000146
176	0.004419	0.003104	-0.000183	-1.9e-05	0.001625	0.003104	0.000639	0.003268	-0.025658	0.000639	0.00031	-0.003963	0.00031
177	0.00409	0.005734	-0.000512	0.000146	0.000146	0.001625	0.00146	0.002447	-0.032726	0.003104	-0.000183	-0.000841	0.000146
178	0.003104	0.006556	-0.002155	-1.9e-05	0.000146	0.002447	0.003433	0.002282	-0.030918	0.003761	0.000146	-0.000512	0.000146
179	0.003926	0.006884	-0.000183	-0.000183	-0.000512	0.001954	0.00031	0.004583	-0.037163	-0.007579	0.002611	0.000639	-1.9e-05
180	0.007049	0.003597	0.000146	-0.000347	-0.000512	0.000639	0.001625	0.001132	-0.03552	-0.000676	0.00146	-0.001169	-0.000183
181	0.007706	0.007377	-1.9e-05	-0.000676	-0.000676	0.001132	0.000639	0.003926	-0.030425	-0.001662	0.000639	0.005734	-0.000512
182	0.005076	0.007213	0.000474	-0.000676	-0.000512	0.002775	0.001789	0.000967	-0.037163	-0.00232	0.000474	-0.001498	-0.000512
183	0.005076	0.004583	0.00031	-0.000841	-1.9e-05	0.002447	0.000474	0.004583	-0.035356	-0.002977	0.006062	-0.000676	-0.000512
184	0.007706	0.002611	0.000146	-0.000183	0.00031	0.002282	0.002775	-0.000512	-0.035027	-0.001662	-0.000347	-0.00232	-0.000183
185	0.005241	0.000474	-1.9e-05	-1.9e-05	0.00031	0.001625	0.001296	0.000639	-0.035356	-0.003963	0.003433	-1.9e-05	-1.9e-05
186	0.003597	0.00672	-0.000183	0.000146	0.00031	0.001625	0.002447	0.002447	-0.038807	0.002611	0.001954	-0.001827	0.000146
187	0.006556	0.003268	-0.000512	0.00031	0.00031	0.000639	0.001132	0.002282	-0.036013	-0.001169	0.00294	0.001296	0.00031
188	0.004255	0.004583	-0.000347	0.00031	0.00031	0.003761	0.000639	0.002611	-0.0393	-0.000347	0.003433	0.00031	0.000146
